number,title,url,difficulty,acceptance,likes,popularity
47,Permutations II,https://leetcode.com/problems/permutations-ii,Medium,51.325494044956855,3559,43.93827160493827
1641,Count Sorted Vowel Strings,https://leetcode.com/problems/count-sorted-vowel-strings,Medium,74.97729597995149,1314,43.8
221,Maximal Square,https://leetcode.com/problems/maximal-square,Medium,40.74098610966519,5255,43.79166666666666
1482,Minimum Number of Days to Make m Bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Medium,52.9198987178972,1115,42.88461538461539
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,Medium,52.97768530343636,2772,42.64615384615384
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Hard,25.67867991605738,2161,42.372549019607845
39,Combination Sum,https://leetcode.com/problems/combination-sum,Medium,61.58319777517547,7148,41.55813953488372
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Medium,61.1174125129604,2648,41.375
718,Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray,Medium,51.0562084261413,2894,41.34285714285714
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium,54.67861562869185,6298,41.16339869281046
886,Possible Bipartition,https://leetcode.com/problems/possible-bipartition,Medium,46.13013494552881,1714,40.80952380952381
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island,Hard,44.41947058425293,1587,40.69230769230769
1248,Count Number of Nice Subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays,Medium,57.188745096828,1138,40.642857142857146
1074,Number of Submatrices That Sum to Target,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,Hard,65.60680978907179,1304,39.51515151515152
198,House Robber,https://leetcode.com/problems/house-robber,Medium,44.15219401594844,8068,39.35609756097561
1046,Last Stone Weight,https://leetcode.com/problems/last-stone-weight,Easy,62.58627937566955,1608,39.21951219512195
100,Same Tree,https://leetcode.com/problems/same-tree,Easy,54.67158985038636,3890,38.9
1254,Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands,Medium,62.4570969283573,1128,38.89655172413793
986,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections,Medium,69.21862241627133,2679,38.82608695652174
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,Easy,49.634827423569824,7090,38.74316939890711
678,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,Medium,32.18886925476478,2659,38.53623188405797
354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,Hard,38.88340875917274,2422,38.44444444444444
1306,Jump Game III,https://leetcode.com/problems/jump-game-iii,Medium,61.59858054159098,1574,37.47619047619048
113,Path Sum II,https://leetcode.com/problems/path-sum-ii,Medium,51.64401611263788,3547,37.33684210526316
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,Hard,32.65877271986636,2533,37.25
200,Number of Islands,https://leetcode.com/problems/number-of-islands,Medium,51.11959410654136,9840,36.853932584269664
322,Coin Change,https://leetcode.com/problems/coin-change,Medium,38.59114177609615,8111,36.53603603603604
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Easy,69.86312299262826,3030,36.506024096385545
714,Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,59.10959337254158,2903,36.2875
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle,Hard,62.05690568740848,1143,35.71875
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Medium,53.20989894342581,3671,35.640776699029125
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,Medium,68.44623549769473,2130,35.5
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,Medium,65.73753626761231,4896,35.223021582733814
815,Bus Routes,https://leetcode.com/problems/bus-routes,Hard,44.21487280149526,1335,35.13157894736842
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Medium,51.29064368199682,3451,34.85858585858586
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island,Medium,67.23960519223763,4072,34.8034188034188
312,Burst Balloons,https://leetcode.com/problems/burst-balloons,Hard,54.59556129982454,4141,34.79831932773109
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,Medium,45.56105712002414,2540,34.794520547945204
283,Move Zeroes,https://leetcode.com/problems/move-zeroes,Easy,59.10631163802835,6321,34.540983606557376
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,Medium,63.32697881806016,4958,34.19310344827586
567,Permutation in String,https://leetcode.com/problems/permutation-in-string,Medium,44.70245897789524,2885,33.94117647058823
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,Medium,58.03532156319074,3048,33.86666666666667
1094,Car Pooling,https://leetcode.com/problems/car-pooling,Medium,59.5620501699257,1489,33.84090909090909
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy,49.2765115237412,7799,33.472103004291846
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses,Medium,65.22556687998737,2543,33.46052631578947
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,Hard,42.03207874065964,4416,33.45454545454545
630,Course Schedule III,https://leetcode.com/problems/course-schedule-iii,Hard,35.09633932405972,1559,33.170212765957444
926,Flip String to Monotone Increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing,Medium,56.47594252439533,1343,32.75609756097561
1219,Path with Maximum Gold,https://leetcode.com/problems/path-with-maximum-gold,Medium,66.083157700886,1369,32.595238095238095
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,Medium,54.93575066733545,4328,32.54135338345865
51,N-Queens,https://leetcode.com/problems/n-queens,Hard,53.59716477476054,3950,32.377049180327866
979,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,Medium,70.44817927170868,2841,32.28409090909091
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,Medium,33.360510981566414,7949,31.923694779116467
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree,Hard,47.95521628498728,1553,31.693877551020407
1026,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,Medium,70.4219124525843,1457,31.67391304347826
216,Combination Sum III,https://leetcode.com/problems/combination-sum-iii,Medium,61.99515224965915,2138,31.44117647058824
814,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,Medium,71.27113633676244,1980,31.428571428571427
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,Hard,47.90463544520789,3201,31.07766990291262
