number,title,url,difficulty,likes,dislikes,accepted,submissions,acceptance,popularity
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii,Medium,5459,97,487790,1052125,46.36236188665796,56.27835051546392
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Medium,3150,56,322248,621002,51.891620316842776,56.25
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Hard,1012,18,36605,84606,43.26525305533887,56.22222222222222
1125,Smallest Sufficient Team,https://leetcode.com/problems/smallest-sufficient-team,Hard,562,10,13334,28197,47.28871865801326,56.2
1319,Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected,Medium,1287,23,45839,82030,55.880775326100206,55.95652173913044
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,Hard,5142,92,357165,727801,49.07454098029544,55.891304347826086
895,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,Hard,2103,38,76954,120559,63.83098731741305,55.3421052631579
1496,Path Crossing,https://leetcode.com/problems/path-crossing,Easy,386,7,29635,53663,55.22426998117884,55.142857142857146
1035,Uncrossed Lines,https://leetcode.com/problems/uncrossed-lines,Medium,1322,24,57943,102177,56.708456893430025,55.083333333333336
583,Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings,Medium,2073,38,90331,170822,52.880191076090895,54.55263157894737
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,Easy,8157,150,1561560,2321380,67.26860746624853,54.38
1671,Minimum Number of Removals to Make Mountain Array,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array,Hard,435,8,8307,18986,43.75329189929422,54.375
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Medium,5219,97,323008,709965,45.49632728373934,53.8041237113402
1658,Minimum Operations to Reduce X to Zero,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,Medium,1128,21,37707,113214,33.30595156076104,53.714285714285715
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,Hard,4935,92,246321,606956,40.5830076644765,53.641304347826086
946,Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences,Medium,1978,37,113648,175761,64.66053333788497,53.45945945945946
983,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,Medium,3392,64,115945,183801,63.08181130679375,53.0
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target,Medium,582,11,15817,35049,45.12824902279666,52.90909090909091
1749,Maximum Absolute Sum of Any Subarray,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray,Medium,423,8,13648,24922,54.76286012358559,52.875
1855,Maximum Distance Between a Pair of Values,https://leetcode.com/problems/maximum-distance-between-a-pair-of-values,Medium,317,6,13824,29551,46.78014280396602,52.833333333333336
863,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Medium,4420,85,161434,272951,59.14394891390763,52.0
1530,Number of Good Leaf Nodes Pairs,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,Medium,827,16,19192,33181,57.84033030951448,51.6875
1572,Matrix Diagonal Sum,https://leetcode.com/problems/matrix-diagonal-sum,Easy,616,12,65564,83822,78.21812889217628,51.333333333333336
1776,Car Fleet II,https://leetcode.com/problems/car-fleet-ii,Hard,357,7,11120,22021,50.4972526224967,51.0
1349,Maximum Students Taking Exam,https://leetcode.com/problems/maximum-students-taking-exam,Hard,458,9,8440,18599,45.378783805580944,50.888888888888886
